ts,Close,Low,High,Open,Volume
2021-01-05 12:14:00,11.6,11.6,11.6,11.6,3
2021-01-05 12:16:00,11.6,11.6,11.6,11.6,5
2021-01-05 12:17:00,11.6,11.6,11.6,11.6,1
2021-01-05 12:18:00,11.6,11.6,11.6,11.6,36
2021-01-05 12:19:00,11.6,11.6,11.6,11.6,5
2021-01-05 12:20:00,11.6,11.6,11.6,11.6,3
2021-01-05 12:21:00,11.55,11.55,11.55,11.55,11
2021-01-05 12:23:00,11.6,11.55,11.6,11.55,14
2021-01-05 12:24:00,11.6,11.6,11.6,11.6,1
2021-01-05 12:25:00,11.55,11.55,11.6,11.6,4
2021-01-05 12:26:00,11.6,11.55,11.6,11.55,16
2021-01-05 12:27:00,11.55,11.55,11.55,11.55,2
2021-01-05 12:28:00,11.55,11.55,11.6,11.6,7
2021-01-05 12:29:00,11.55,11.55,11.55,11.55,204
2021-01-05 12:30:00,11.55,11.55,11.55,11.55,55
2021-01-05 12:31:00,11.55,11.55,11.6,11.6,8
2021-01-05 12:32:00,11.55,11.55,11.6,11.6,6
2021-01-05 12:33:00,11.55,11.55,11.55,11.55,14
2021-01-05 12:34:00,11.55,11.55,11.55,11.55,9
2021-01-05 12:35:00,11.55,11.55,11.55,11.55,3
2021-01-05 12:36:00,11.55,11.55,11.55,11.55,23
2021-01-05 12:37:00,11.55,11.55,11.55,11.55,4
2021-01-05 12:38:00,11.55,11.5,11.55,11.5,27
2021-01-05 12:39:00,11.55,11.5,11.55,11.55,14
2021-01-05 12:40:00,11.5,11.5,11.55,11.55,4
2021-01-05 12:41:00,11.5,11.5,11.55,11.55,9
2021-01-05 12:42:00,11.5,11.5,11.5,11.5,13
2021-01-05 12:43:00,11.5,11.5,11.5,11.5,7
2021-01-05 12:44:00,11.5,11.5,11.55,11.55,22
2021-01-05 12:45:00,11.5,11.5,11.55,11.5,16
2021-01-05 12:46:00,11.5,11.5,11.5,11.5,26
2021-01-05 12:47:00,11.55,11.55,11.55,11.55,36
2021-01-05 12:48:00,11.55,11.55,11.55,11.55,4
2021-01-05 12:49:00,11.55,11.5,11.55,11.55,10
2021-01-05 12:50:00,11.55,11.55,11.55,11.55,11
2021-01-05 12:51:00,11.5,11.5,11.55,11.55,17
2021-01-05 12:52:00,11.5,11.5,11.5,11.5,4
2021-01-05 12:53:00,11.5,11.5,11.5,11.5,12
2021-01-05 12:54:00,11.5,11.5,11.55,11.55,25
2021-01-05 12:55:00,11.55,11.5,11.55,11.5,29
